ResponseId,Q,A.Code,B.Code,Winner,Loser
R_3FUm7IbWfWfUSWv,20,Grapes,Cookies/biscuits,Cookies/biscuits,Grapes
R_11ipYPz7zgMPsY6,21,Sprouts,Prawns,Prawns,Sprouts
R_24IAat95tz832LX,22,Pulled pork,Courgette,Pulled pork,Courgette
R_3CJEOmprJg9Qngp,22,Pulled pork,Courgette,Pulled pork,Courgette
R_tEP3YRZbE6jUXdL,22,Pulled pork,Courgette,Pulled pork,Courgette
R_3FUm7IbWfWfUSWv,22,Pulled pork,Courgette,Pulled pork,Courgette
R_VHWJZ9JcNVT1SFz,23,Spinach,Smoked salmon,Spinach,Smoked salmon
R_3CJEOmprJg9Qngp,24,Hummus,Onion rings,Onion rings,Hummus
R_tEP3YRZbE6jUXdL,24,Hummus,Onion rings,Onion rings,Hummus
R_2sbBHCSUsaf4TuQ,24,Hummus,Onion rings,Hummus,Onion rings
R_1eXhwYOBWSP0WwH,24,Hummus,Onion rings,Hummus,Onion rings
R_1RKRv5qLSzXtwHv,25,Tomato,Blueberries,Tomato,Blueberries
R_1ogPKzOXNF7qE4F,25,Tomato,Blueberries,Blueberries,Tomato
R_3FUm7IbWfWfUSWv,27,Roast chicken,Baked potato,Roast chicken,Baked potato
R_11ipYPz7zgMPsY6,27,Roast chicken,Baked potato,Roast chicken,Baked potato
R_VHWJZ9JcNVT1SFz,28,Blueberries,Honey,Blueberries,Honey
R_1RKRv5qLSzXtwHv,28,Blueberries,Honey,Honey,Blueberries
R_3FUm7IbWfWfUSWv,29,Sweet potatoes,Guacamole,Guacamole,Sweet potatoes
R_3EGCQt2M8RV3Rjm,29,Sweet potatoes,Guacamole,Guacamole,Sweet potatoes
R_VHWJZ9JcNVT1SFz,29,Sweet potatoes,Guacamole,Guacamole,Sweet potatoes
R_2sbBHCSUsaf4TuQ,31,Mac n cheese,Chips/fries,Chips/fries,Mac n cheese
R_VHWJZ9JcNVT1SFz,32,Sausage,Scrambled egg,Sausage,Scrambled egg
R_2rwFg9Pb5PAMNsw,32,Sausage,Scrambled egg,Sausage,Scrambled egg
R_3CJEOmprJg9Qngp,33,Croissant,Fried eggs,Fried eggs,Croissant
R_22G1pn30ere3rAm,33,Croissant,Fried eggs,Croissant,Fried eggs
R_3EGCQt2M8RV3Rjm,33,Croissant,Fried eggs,Fried eggs,Croissant
R_2D5hdzKSoMrJ9ik,33,Croissant,Fried eggs,Fried eggs,Croissant
R_Xn5bd0RUvf9hWj7,34,Kidney beans,Nachos,Nachos,Kidney beans
R_Xn5bd0RUvf9hWj7,35,Kiwi,Donuts,Donuts,Kiwi
R_11ipYPz7zgMPsY6,36,Sweet potatoes,Cheddar cheese,Cheddar cheese,Sweet potatoes
R_VHWJZ9JcNVT1SFz,36,Sweet potatoes,Cheddar cheese,Sweet potatoes,Cheddar cheese
R_24IAat95tz832LX,38,Aubergine,Popcorn,Aubergine,Popcorn
R_2sbBHCSUsaf4TuQ,38,Aubergine,Popcorn,Popcorn,Aubergine
R_tEP3YRZbE6jUXdL,39,Cabbage,Pancakes,Cabbage,Pancakes
R_24IAat95tz832LX,40,Pancakes,Marmite/vegemite,Pancakes,Marmite/vegemite
R_3EGCQt2M8RV3Rjm,40,Pancakes,Marmite/vegemite,Marmite/vegemite,Pancakes
R_3FUm7IbWfWfUSWv,40,Pancakes,Marmite/vegemite,Pancakes,Marmite/vegemite
R_2D5hdzKSoMrJ9ik,41,Milk,Crisps/chips,Milk,Crisps/chips
R_6WHkcTAnTu51lOV,42,Sweet potatoes,Mushroom,Sweet potatoes,Mushroom
R_6WHkcTAnTu51lOV,44,Popcorn,Victoria sponge cake,Victoria sponge cake,Popcorn
R_3FUm7IbWfWfUSWv,44,Popcorn,Victoria sponge cake,Victoria sponge cake,Popcorn
R_VHWJZ9JcNVT1SFz,45,Avocado,Cod,Cod,Avocado
R_tEP3YRZbE6jUXdL,45,Avocado,Cod,Cod,Avocado
R_2D5hdzKSoMrJ9ik,46,Carrot cake,Milk,Milk,Carrot cake
R_1eXhwYOBWSP0WwH,47,Strawberries,Ice cream,Strawberries,Ice cream
R_2rwFg9Pb5PAMNsw,47,Strawberries,Ice cream,Ice cream,Strawberries
R_VHWJZ9JcNVT1SFz,48,Milk,Marmite/vegemite,Milk,Marmite/vegemite
R_2sbBHCSUsaf4TuQ,48,Milk,Marmite/vegemite,Marmite/vegemite,Milk
R_6WHkcTAnTu51lOV,48,Milk,Marmite/vegemite,Marmite/vegemite,Milk
R_22G1pn30ere3rAm,48,Milk,Marmite/vegemite,Marmite/vegemite,Milk
R_VHWJZ9JcNVT1SFz,49,Chips/fries,Carrot cake,Chips/fries,Carrot cake
R_11ipYPz7zgMPsY6,50,Sprouts,Brocolli,Brocolli,Sprouts
R_1eXhwYOBWSP0WwH,51,Bacon,Gingerbread,Bacon,Gingerbread
R_3FUm7IbWfWfUSWv,51,Bacon,Gingerbread,Bacon,Gingerbread
R_1RKRv5qLSzXtwHv,51,Bacon,Gingerbread,Bacon,Gingerbread
R_22G1pn30ere3rAm,53,Cheddar cheese,Onion rings,Cheddar cheese,Onion rings
R_2sbBHCSUsaf4TuQ,54,Ham,Guacamole,Guacamole,Ham
R_2D5hdzKSoMrJ9ik,55,Crisps/chips,Strawberries,Strawberries,Crisps/chips
R_1Cj8aNlBXSWK7X8,55,Crisps/chips,Strawberries,Strawberries,Crisps/chips
R_22G1pn30ere3rAm,55,Crisps/chips,Strawberries,Crisps/chips,Strawberries
R_1ogPKzOXNF7qE4F,55,Crisps/chips,Strawberries,Crisps/chips,Strawberries
R_2D5hdzKSoMrJ9ik,56,Sausage,Prawns,Sausage,Prawns
R_1eXhwYOBWSP0WwH,56,Sausage,Prawns,Sausage,Prawns
R_VHWJZ9JcNVT1SFz,56,Sausage,Prawns,Prawns,Sausage
R_3EGCQt2M8RV3Rjm,57,Carrot,Prawns,Prawns,Carrot
R_1RKRv5qLSzXtwHv,57,Carrot,Prawns,Carrot,Prawns
R_1ogPKzOXNF7qE4F,58,Soup,Apple,Apple,Soup
R_1Cj8aNlBXSWK7X8,58,Soup,Apple,Soup,Apple
R_3CJEOmprJg9Qngp,59,Sausage,Croissant,Croissant,Sausage
R_6WHkcTAnTu51lOV,59,Sausage,Croissant,Sausage,Croissant
R_22G1pn30ere3rAm,59,Sausage,Croissant,Sausage,Croissant
R_2rwFg9Pb5PAMNsw,60,Cheesecake,Milk,Cheesecake,Milk
R_3FUm7IbWfWfUSWv,62,Cheddar cheese,Scrambled egg,Cheddar cheese,Scrambled egg
R_Xn5bd0RUvf9hWj7,62,Cheddar cheese,Scrambled egg,Cheddar cheese,Scrambled egg
R_1RKRv5qLSzXtwHv,64,Melon,Croissant,Croissant,Melon
R_3FUm7IbWfWfUSWv,65,Hummus,Spinach,Hummus,Spinach
R_3CJEOmprJg9Qngp,65,Hummus,Spinach,Hummus,Spinach
R_3EGCQt2M8RV3Rjm,65,Hummus,Spinach,Hummus,Spinach
R_2rwFg9Pb5PAMNsw,66,Steak,Crisps/chips,Crisps/chips,Steak
R_Xn5bd0RUvf9hWj7,66,Steak,Crisps/chips,Steak,Crisps/chips
R_tEP3YRZbE6jUXdL,67,Boiled egg,Hummus,Hummus,Boiled egg
R_6WHkcTAnTu51lOV,67,Boiled egg,Hummus,Boiled egg,Hummus
R_1RKRv5qLSzXtwHv,68,Milk chocolate,Apple,Milk chocolate,Apple
R_24IAat95tz832LX,68,Milk chocolate,Apple,Milk chocolate,Apple
R_22G1pn30ere3rAm,68,Milk chocolate,Apple,Apple,Milk chocolate
R_1eXhwYOBWSP0WwH,69,Mushroom,Poached egg,Poached egg,Mushroom
R_11ipYPz7zgMPsY6,69,Mushroom,Poached egg,Mushroom,Poached egg
R_11ipYPz7zgMPsY6,71,Spinach,Sushi,Sushi,Spinach
R_1RKRv5qLSzXtwHv,72,Pasta,Grapes,Pasta,Grapes
R_3CJEOmprJg9Qngp,73,Victoria sponge cake,Orange,Orange,Victoria sponge cake
R_3FUm7IbWfWfUSWv,73,Victoria sponge cake,Orange,Victoria sponge cake,Orange
R_2D5hdzKSoMrJ9ik,74,Mushroom,Strawberries,Strawberries,Mushroom
R_Xn5bd0RUvf9hWj7,75,Dates,Cashew nuts,Dates,Cashew nuts
R_1RKRv5qLSzXtwHv,75,Dates,Cashew nuts,Cashew nuts,Dates
R_2rwFg9Pb5PAMNsw,75,Dates,Cashew nuts,Cashew nuts,Dates
R_2D5hdzKSoMrJ9ik,76,Poached egg,Tomato,Tomato,Poached egg
R_24IAat95tz832LX,76,Poached egg,Tomato,Tomato,Poached egg
R_11ipYPz7zgMPsY6,77,Chicken nugges,Peas,Chicken nugges,Peas
R_1RKRv5qLSzXtwHv,77,Chicken nugges,Peas,Chicken nugges,Peas
R_1ogPKzOXNF7qE4F,78,Peas,Kiwi,Kiwi,Peas
R_3EGCQt2M8RV3Rjm,78,Peas,Kiwi,Kiwi,Peas
R_tEP3YRZbE6jUXdL,78,Peas,Kiwi,Kiwi,Peas
R_6WHkcTAnTu51lOV,79,Guacamole,Grapes,Guacamole,Grapes
R_2rwFg9Pb5PAMNsw,82,Blueberries,Courgette,Courgette,Blueberries
R_VHWJZ9JcNVT1SFz,83,Courgette,Poached egg,Poached egg,Courgette
R_6WHkcTAnTu51lOV,83,Courgette,Poached egg,Courgette,Poached egg
R_1Cj8aNlBXSWK7X8,83,Courgette,Poached egg,Courgette,Poached egg
R_3CJEOmprJg9Qngp,84,Peanuts,Scrambled egg,Scrambled egg,Peanuts
R_24IAat95tz832LX,84,Peanuts,Scrambled egg,Peanuts,Scrambled egg
R_2rwFg9Pb5PAMNsw,85,Peach,Honey,Peach,Honey
R_6WHkcTAnTu51lOV,85,Peach,Honey,Peach,Honey
R_2rwFg9Pb5PAMNsw,86,Cookies/biscuits,Kiwi,Cookies/biscuits,Kiwi
R_1Cj8aNlBXSWK7X8,87,Orange,Corn,Orange,Corn
R_2D5hdzKSoMrJ9ik,87,Orange,Corn,Orange,Corn
R_Xn5bd0RUvf9hWj7,87,Orange,Corn,Orange,Corn
R_3FUm7IbWfWfUSWv,87,Orange,Corn,Orange,Corn
R_22G1pn30ere3rAm,88,Sweet potatoes,Kidney beans,Sweet potatoes,Kidney beans
R_11ipYPz7zgMPsY6,89,Victoria sponge cake,Cookies/biscuits,Victoria sponge cake,Cookies/biscuits
R_1Cj8aNlBXSWK7X8,90,Mac n cheese,Soup,Mac n cheese,Soup
R_22G1pn30ere3rAm,90,Mac n cheese,Soup,Soup,Mac n cheese
R_22G1pn30ere3rAm,91,Chicken nugges,Scrambled egg,Chicken nugges,Scrambled egg
R_1ogPKzOXNF7qE4F,91,Chicken nugges,Scrambled egg,Scrambled egg,Chicken nugges
R_1Cj8aNlBXSWK7X8,92,Blue cheese,Banana,Banana,Blue cheese
R_1Cj8aNlBXSWK7X8,93,Tomato,Popcorn,Tomato,Popcorn
R_3EGCQt2M8RV3Rjm,93,Tomato,Popcorn,Popcorn,Tomato
R_24IAat95tz832LX,93,Tomato,Popcorn,Tomato,Popcorn
R_1RKRv5qLSzXtwHv,93,Tomato,Popcorn,Tomato,Popcorn
R_11ipYPz7zgMPsY6,93,Tomato,Popcorn,Tomato,Popcorn
R_2sbBHCSUsaf4TuQ,94,Onion rings,Marmite/vegemite,Marmite/vegemite,Onion rings
R_1Cj8aNlBXSWK7X8,95,Avocado,Milk,Milk,Avocado
R_22G1pn30ere3rAm,96,Onion,Mac n cheese,Onion,Mac n cheese
R_Xn5bd0RUvf9hWj7,96,Onion,Mac n cheese,Mac n cheese,Onion
R_Xn5bd0RUvf9hWj7,98,Peach,Pizza,Peach,Pizza
R_3CJEOmprJg9Qngp,98,Peach,Pizza,Pizza,Peach
R_2D5hdzKSoMrJ9ik,99,Smoked salmon,Lamb,Smoked salmon,Lamb
R_tEP3YRZbE6jUXdL,99,Smoked salmon,Lamb,Smoked salmon,Lamb
R_VHWJZ9JcNVT1SFz,99,Smoked salmon,Lamb,Smoked salmon,Lamb
R_2sbBHCSUsaf4TuQ,99,Smoked salmon,Lamb,Smoked salmon,Lamb
R_tEP3YRZbE6jUXdL,100,Pasta,Donuts,Donuts,Pasta
R_2sbBHCSUsaf4TuQ,101,Ice cream,Dates,Ice cream,Dates
R_VHWJZ9JcNVT1SFz,101,Ice cream,Dates,Ice cream,Dates
R_1eXhwYOBWSP0WwH,102,Raspberries,Hummus,Raspberries,Hummus
R_3CJEOmprJg9Qngp,102,Raspberries,Hummus,Raspberries,Hummus
R_3EGCQt2M8RV3Rjm,102,Raspberries,Hummus,Hummus,Raspberries
R_6WHkcTAnTu51lOV,102,Raspberries,Hummus,Raspberries,Hummus
R_1eXhwYOBWSP0WwH,103,Avocado,Granola,Granola,Avocado
R_VHWJZ9JcNVT1SFz,103,Avocado,Granola,Avocado,Granola
R_1RKRv5qLSzXtwHv,103,Avocado,Granola,Granola,Avocado
R_1Cj8aNlBXSWK7X8,103,Avocado,Granola,Granola,Avocado
R_22G1pn30ere3rAm,104,Peas,Nachos,Nachos,Peas
R_3EGCQt2M8RV3Rjm,104,Peas,Nachos,Nachos,Peas
R_VHWJZ9JcNVT1SFz,105,Crisps/chips,Pepperoni,Crisps/chips,Pepperoni
R_1ogPKzOXNF7qE4F,107,Brocolli,Butternut squash,Butternut squash,Brocolli
R_3EGCQt2M8RV3Rjm,107,Brocolli,Butternut squash,Butternut squash,Brocolli
R_24IAat95tz832LX,108,Bacon,Cod,Bacon,Cod
R_6WHkcTAnTu51lOV,108,Bacon,Cod,Cod,Bacon
R_1eXhwYOBWSP0WwH,108,Bacon,Cod,Bacon,Cod
R_2sbBHCSUsaf4TuQ,109,Apple pie,Tacos,Apple pie,Tacos
R_2rwFg9Pb5PAMNsw,109,Apple pie,Tacos,Tacos,Apple pie
R_3FUm7IbWfWfUSWv,110,Sushi,Pancakes,Sushi,Pancakes
R_3EGCQt2M8RV3Rjm,111,Bread,Cashew nuts,Bread,Cashew nuts
R_2sbBHCSUsaf4TuQ,111,Bread,Cashew nuts,Cashew nuts,Bread
R_24IAat95tz832LX,112,Raspberries,Croissant,Croissant,Raspberries
R_11ipYPz7zgMPsY6,114,Lamb,Yogurt,Yogurt,Lamb
R_VHWJZ9JcNVT1SFz,114,Lamb,Yogurt,Yogurt,Lamb
R_2sbBHCSUsaf4TuQ,114,Lamb,Yogurt,Yogurt,Lamb
R_1ogPKzOXNF7qE4F,114,Lamb,Yogurt,Yogurt,Lamb
R_11ipYPz7zgMPsY6,116,Tomato,Baked potato,Tomato,Baked potato
R_3EGCQt2M8RV3Rjm,116,Tomato,Baked potato,Tomato,Baked potato
R_Xn5bd0RUvf9hWj7,117,Butternut squash,Crepes,Crepes,Butternut squash
R_1ogPKzOXNF7qE4F,117,Butternut squash,Crepes,Crepes,Butternut squash
R_3CJEOmprJg9Qngp,117,Butternut squash,Crepes,Butternut squash,Crepes
R_11ipYPz7zgMPsY6,118,Hummus,Cheddar cheese,Cheddar cheese,Hummus
R_22G1pn30ere3rAm,118,Hummus,Cheddar cheese,Cheddar cheese,Hummus
R_1RKRv5qLSzXtwHv,121,Kidney beans,Mango,Mango,Kidney beans
R_tEP3YRZbE6jUXdL,122,Sprouts,Victoria sponge cake,Victoria sponge cake,Sprouts
R_22G1pn30ere3rAm,122,Sprouts,Victoria sponge cake,Victoria sponge cake,Sprouts
R_1ogPKzOXNF7qE4F,123,Mac n cheese,Gingerbread,Mac n cheese,Gingerbread
R_1eXhwYOBWSP0WwH,123,Mac n cheese,Gingerbread,Gingerbread,Mac n cheese
R_tEP3YRZbE6jUXdL,123,Mac n cheese,Gingerbread,Mac n cheese,Gingerbread
R_6WHkcTAnTu51lOV,123,Mac n cheese,Gingerbread,Mac n cheese,Gingerbread
R_1Cj8aNlBXSWK7X8,123,Mac n cheese,Gingerbread,Mac n cheese,Gingerbread
R_2sbBHCSUsaf4TuQ,124,Rocket/arugula ,Tacos,Rocket/arugula ,Tacos
R_24IAat95tz832LX,125,Brocolli,Rice,Rice,Brocolli
R_2sbBHCSUsaf4TuQ,126,Tacos,Milk chocolate,Milk chocolate,Tacos
R_2sbBHCSUsaf4TuQ,127,Poached egg,Burger,Burger,Poached egg
R_22G1pn30ere3rAm,127,Poached egg,Burger,Burger,Poached egg
R_2rwFg9Pb5PAMNsw,127,Poached egg,Burger,Poached egg,Burger
R_1eXhwYOBWSP0WwH,129,Hummus,Prawns,Hummus,Prawns
R_2rwFg9Pb5PAMNsw,131,Crepes,Peanuts,Crepes,Peanuts
R_3FUm7IbWfWfUSWv,131,Crepes,Peanuts,Crepes,Peanuts
R_tEP3YRZbE6jUXdL,131,Crepes,Peanuts,Peanuts,Crepes
R_2sbBHCSUsaf4TuQ,132,Pancakes,Kiwi,Pancakes,Kiwi
R_Xn5bd0RUvf9hWj7,132,Pancakes,Kiwi,Pancakes,Kiwi
R_2D5hdzKSoMrJ9ik,133,Bacon,Pancakes,Pancakes,Bacon
R_3CJEOmprJg9Qngp,134,Cod,Tomato,Cod,Tomato
R_24IAat95tz832LX,134,Cod,Tomato,Tomato,Cod
R_22G1pn30ere3rAm,135,Bread,Gingerbread,Bread,Gingerbread
R_2sbBHCSUsaf4TuQ,136,Pancakes,Pasta,Pancakes,Pasta
R_VHWJZ9JcNVT1SFz,137,Rocket/arugula ,Spinach,Rocket/arugula ,Spinach
R_1Cj8aNlBXSWK7X8,138,Fried eggs,Crepes,Fried eggs,Crepes
R_1RKRv5qLSzXtwHv,139,Victoria sponge cake,Honey,Victoria sponge cake,Honey
R_3EGCQt2M8RV3Rjm,139,Victoria sponge cake,Honey,Victoria sponge cake,Honey
R_1Cj8aNlBXSWK7X8,139,Victoria sponge cake,Honey,Honey,Victoria sponge cake
R_VHWJZ9JcNVT1SFz,140,Pizza,Sushi,Sushi,Pizza
R_1eXhwYOBWSP0WwH,140,Pizza,Sushi,Pizza,Sushi
R_3EGCQt2M8RV3Rjm,141,Pasta,Milk,Pasta,Milk
R_2D5hdzKSoMrJ9ik,141,Pasta,Milk,Pasta,Milk
R_2sbBHCSUsaf4TuQ,141,Pasta,Milk,Milk,Pasta
R_22G1pn30ere3rAm,142,Rice,Pizza,Pizza,Rice
R_2rwFg9Pb5PAMNsw,142,Rice,Pizza,Pizza,Rice
R_6WHkcTAnTu51lOV,144,Pepperoni,Yogurt,Pepperoni,Yogurt
R_11ipYPz7zgMPsY6,144,Pepperoni,Yogurt,Yogurt,Pepperoni
R_2rwFg9Pb5PAMNsw,144,Pepperoni,Yogurt,Yogurt,Pepperoni
R_3CJEOmprJg9Qngp,144,Pepperoni,Yogurt,Pepperoni,Yogurt
R_2rwFg9Pb5PAMNsw,145,Kiwi,Guacamole,Guacamole,Kiwi
R_VHWJZ9JcNVT1SFz,146,Blueberries,Fried eggs,Fried eggs,Blueberries
R_3FUm7IbWfWfUSWv,146,Blueberries,Fried eggs,Fried eggs,Blueberries
R_2D5hdzKSoMrJ9ik,147,Ice cream,Nachos,Ice cream,Nachos
R_6WHkcTAnTu51lOV,147,Ice cream,Nachos,Nachos,Ice cream
R_1eXhwYOBWSP0WwH,148,Popcorn,Pasta,Pasta,Popcorn
R_2sbBHCSUsaf4TuQ,150,Sprouts,Chicken nugges,Chicken nugges,Sprouts
R_3CJEOmprJg9Qngp,150,Sprouts,Chicken nugges,Sprouts,Chicken nugges
R_2D5hdzKSoMrJ9ik,152,Pizza,Milk chocolate,Milk chocolate,Pizza
R_6WHkcTAnTu51lOV,153,Milk chocolate,Butternut squash,Milk chocolate,Butternut squash
R_1Cj8aNlBXSWK7X8,154,Onion rings,Orange,Orange,Onion rings
R_2rwFg9Pb5PAMNsw,154,Onion rings,Orange,Orange,Onion rings
R_tEP3YRZbE6jUXdL,155,Fried eggs,Boiled egg,Fried eggs,Boiled egg
R_2rwFg9Pb5PAMNsw,156,Avocado,Dates,Dates,Avocado
R_1ogPKzOXNF7qE4F,156,Avocado,Dates,Dates,Avocado
R_3CJEOmprJg9Qngp,157,Tacos,Peanuts,Tacos,Peanuts
R_1ogPKzOXNF7qE4F,157,Tacos,Peanuts,Tacos,Peanuts
R_3EGCQt2M8RV3Rjm,158,Butternut squash,Coconut,Butternut squash,Coconut
R_tEP3YRZbE6jUXdL,158,Butternut squash,Coconut,Coconut,Butternut squash
R_Xn5bd0RUvf9hWj7,158,Butternut squash,Coconut,Coconut,Butternut squash
R_1ogPKzOXNF7qE4F,159,Yogurt,Courgette,Yogurt,Courgette
R_2sbBHCSUsaf4TuQ,160,Peach,Crepes,Crepes,Peach
R_3CJEOmprJg9Qngp,160,Peach,Crepes,Peach,Crepes
R_24IAat95tz832LX,160,Peach,Crepes,Peach,Crepes
R_6WHkcTAnTu51lOV,161,Melon,Baked beans,Baked beans,Melon
R_24IAat95tz832LX,162,Crisps/chips,Chocolate chip muffin,Chocolate chip muffin,Crisps/chips
R_3EGCQt2M8RV3Rjm,164,Oysters,Corn,Corn,Oysters
R_11ipYPz7zgMPsY6,164,Oysters,Corn,Corn,Oysters
R_1RKRv5qLSzXtwHv,167,Strawberries,Burrito,Burrito,Strawberries
R_tEP3YRZbE6jUXdL,168,Pancakes,Ice cream,Ice cream,Pancakes
R_2rwFg9Pb5PAMNsw,168,Pancakes,Ice cream,Ice cream,Pancakes
R_1RKRv5qLSzXtwHv,169,Courgette,Gingerbread,Gingerbread,Courgette
R_1Cj8aNlBXSWK7X8,169,Courgette,Gingerbread,Gingerbread,Courgette
R_2rwFg9Pb5PAMNsw,169,Courgette,Gingerbread,Courgette,Gingerbread
R_22G1pn30ere3rAm,170,Oysters,Honey,Honey,Oysters
R_3CJEOmprJg9Qngp,170,Oysters,Honey,Oysters,Honey
R_2sbBHCSUsaf4TuQ,170,Oysters,Honey,Honey,Oysters
R_Xn5bd0RUvf9hWj7,170,Oysters,Honey,Oysters,Honey
R_2D5hdzKSoMrJ9ik,170,Oysters,Honey,Honey,Oysters
R_tEP3YRZbE6jUXdL,172,Cheddar cheese,Cabbage,Cabbage,Cheddar cheese
R_3CJEOmprJg9Qngp,175,Granola,Bacon,Bacon,Granola
R_2sbBHCSUsaf4TuQ,175,Granola,Bacon,Bacon,Granola
R_3EGCQt2M8RV3Rjm,176,Melon,Bacon,Melon,Bacon
R_6WHkcTAnTu51lOV,176,Melon,Bacon,Bacon,Melon
R_1ogPKzOXNF7qE4F,177,Blue cheese,Gingerbread,Blue cheese,Gingerbread
R_2D5hdzKSoMrJ9ik,178,Ham,Pasta,Pasta,Ham
R_3FUm7IbWfWfUSWv,180,Cheddar cheese,Onion,Onion,Cheddar cheese
R_1Cj8aNlBXSWK7X8,180,Cheddar cheese,Onion,Cheddar cheese,Onion
R_1Cj8aNlBXSWK7X8,182,Apple,Burger,Burger,Apple
R_11ipYPz7zgMPsY6,182,Apple,Burger,Burger,Apple
R_11ipYPz7zgMPsY6,183,Carrot,Chips/fries,Carrot,Chips/fries
R_24IAat95tz832LX,183,Carrot,Chips/fries,Carrot,Chips/fries
R_6WHkcTAnTu51lOV,183,Carrot,Chips/fries,Chips/fries,Carrot
R_3EGCQt2M8RV3Rjm,183,Carrot,Chips/fries,Chips/fries,Carrot
R_VHWJZ9JcNVT1SFz,185,Noodles,Grapes,Noodles,Grapes
R_11ipYPz7zgMPsY6,186,Tomato,Crisps/chips,Crisps/chips,Tomato
R_22G1pn30ere3rAm,186,Tomato,Crisps/chips,Crisps/chips,Tomato
R_Xn5bd0RUvf9hWj7,186,Tomato,Crisps/chips,Crisps/chips,Tomato
R_Xn5bd0RUvf9hWj7,188,Burrito,Oysters,Burrito,Oysters
R_6WHkcTAnTu51lOV,188,Burrito,Oysters,Burrito,Oysters
R_6WHkcTAnTu51lOV,189,Guacamole,Crepes,Guacamole,Crepes
R_3CJEOmprJg9Qngp,189,Guacamole,Crepes,Guacamole,Crepes
R_tEP3YRZbE6jUXdL,190,Sweet potatoes,Corn,Sweet potatoes,Corn
R_1ogPKzOXNF7qE4F,190,Sweet potatoes,Corn,Sweet potatoes,Corn
R_11ipYPz7zgMPsY6,190,Sweet potatoes,Corn,Sweet potatoes,Corn
R_1Cj8aNlBXSWK7X8,191,Baked potato,Apple,Baked potato,Apple
R_3CJEOmprJg9Qngp,192,Blueberries,Cashew nuts,Cashew nuts,Blueberries
R_24IAat95tz832LX,193,Banana,Chicken nugges,Chicken nugges,Banana
R_3CJEOmprJg9Qngp,194,Brownies,Guacamole,Guacamole,Brownies
R_3EGCQt2M8RV3Rjm,195,Sprouts,Lamb,Lamb,Sprouts
R_tEP3YRZbE6jUXdL,196,Scrambled egg,Crepes,Scrambled egg,Crepes
R_1eXhwYOBWSP0WwH,197,Butternut squash,Chips/fries,Chips/fries,Butternut squash
